Car,Move direction,Step
K,R,1
B,U,-1
U,R,1
N,D,1
U,L,-1
U,R,1
B,D,1
P,U,-1
T,R,1
M,L,-1
Q,D,1
P,D,1
B,U,-1
Q,U,-1
S,D,1
I,U,-1
T,L,-1
U,L,-1
M,R,1
M,L,-1
I,D,1
U,R,1
A,L,-1
A,R,1
B,D,1
T,R,1
P,U,-1
Q,D,1
B,U,-1
A,L,-1
N,D,1
A,R,1
K,L,-1
T,L,-1
M,R,2
T,R,1
M,L,-2
M,R,2
N,U,-2
A,L,-1
P,D,1
B,D,1
B,U,-1
N,D,1
A,R,1
S,U,-1
B,D,1
P,U,-1
K,R,1
M,L,-1
K,L,-1
T,L,-1
N,U,-1
N,D,3
B,U,-1
P,D,1
K,R,1
M,R,1
K,L,-1
S,D,1
I,U,-1
P,U,-1
U,L,-1
S,U,-1
K,R,1
Q,U,-2
N,U,-3
L,L,-1
K,L,-1
X,L,-1
X,L,-1
L,R,1
N,D,1
P,D,1
P,D,1
K,R,2
M,L,-2
N,U,-1
X,R,2
Q,D,1
D,D,1
N,D,2
N,U,-2
I,D,1
X,L,-1
X,L,-1
B,D,1
J,U,-1
J,D,1
B,U,-1
J,U,-1
D,U,-1
K,L,-2
P,U,-1
O,U,-1
N,D,1
O,D,1
L,R,1
L,L,-1
P,U,-1
L,R,1
N,U,-1
K,R,1
Q,D,1
B,D,1
K,L,-1
U,R,1
Q,U,-1
Q,D,1
P,D,1
B,U,-1
K,R,1
P,U,-1
N,D,1
Q,U,-1
I,U,-1
L,L,-1
X,L,-1
O,U,-1
T,L,-1
M,R,1
M,R,1
M,L,-1
P,D,1
N,U,-1
U,L,-2
U,R,2
M,L,-1
K,L,-1
T,R,2
S,D,1
P,U,-1
P,D,1
S,U,-1
R,R,1
Q,D,1
E,L,-2
K,R,1
F,D,1
P,U,-1
M,R,1
T,L,-1
U,L,-1
F,U,-1
U,R,1
X,R,1
K,L,-1
J,U,-1
K,L,-2
I,D,1
Q,D,1
K,R,1
Q,U,-2
K,R,1
J,D,1
J,U,-1
U,L,-1
R,L,-1
K,L,-3
I,U,-1
P,D,1
X,L,-1
T,L,-1
U,L,-1
Q,D,1
M,L,-1
K,R,4
O,U,-1
P,U,-1
X,R,1
S,D,3
O,D,1
M,R,2
K,L,-3
K,R,3
O,U,-1
P,D,1
S,U,-1
X,L,-1
Q,U,-1
K,L,-1
P,D,1
K,R,2
O,D,1
D,D,3
Q,D,1
D,U,-2
O,U,-1
Q,U,-1
D,D,2
S,D,3
X,R,1
C,L,-1
A,L,-1
A,R,1
C,R,1
C,L,-1
I,D,1
O,D,1
Q,D,1
G,L,-2
B,D,1
O,U,-1
B,U,-1
D,U,-1
U,R,1
H,D,1
D,D,1
S,D,1
T,R,1
Q,U,-1
C,R,1
R,R,1
D,U,-1
O,D,1
C,L,-1
Q,D,1
Q,D,1
B,D,1
J,D,1
C,R,1
C,L,-1
H,U,-1
D,D,1
F,D,1
S,U,-1
S,U,-1
H,D,1
H,U,-1
F,U,-1
B,U,-1
B,D,1
J,U,-1
H,D,2
S,D,2
D,U,-1
O,U,-1
Q,U,-1
C,R,1
I,D,1
O,D,1
E,L,-1
Q,D,1
D,D,1
O,U,-1
S,U,-2
A,L,-1
H,U,-1
O,D,1
A,R,2
G,R,1
O,U,-1
O,D,1
I,D,1
I,U,-1
C,L,-1
C,R,1
Q,U,-1
R,L,-1
G,L,-1
S,D,1
D,U,-1
S,U,-1
T,L,-1
U,L,-1
D,D,1
A,L,-1
N,D,1
G,R,1
J,D,1
J,U,-1
D,U,-1
N,U,-1
G,L,-1
A,L,-1
E,R,1
G,R,1
G,L,-1
U,R,1
B,D,1
S,D,1
C,L,-1
S,D,1
T,R,1
O,D,1
H,U,-1
S,U,-1
S,U,-1
J,D,2
G,L,-1
G,R,1
B,U,-2
I,U,-1
F,D,1
F,U,-1
F,D,1
X,R,1
H,D,2
S,D,1
I,U,-1
S,U,-1
I,D,2
D,D,1
B,D,2
H,U,-1
G,R,1
X,L,-1
F,D,1
G,L,-1
G,R,1
B,U,-2
A,R,2
H,D,1
E,L,-1
H,U,-1
A,L,-1
D,U,-1
B,D,1
N,D,1
S,D,2
G,L,-1
B,U,-1
H,D,1
H,U,-2
C,R,1
F,U,-2
D,D,1
X,R,6
